Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
12kWh,oct,1641.51,281.21,290.00,290.00,1044.99,1044.99,619.63,290.00,909.63,1641.51,258.10
12kWh,nov,1940.88,209.65,78.32,78.32,1518.05,1518.05,440.20,78.32,518.52,1940.88,192.28
12kWh,dec,2244.25,37.57,0.00,0.00,2033.38,2033.38,214.35,0.00,214.35,2244.25,34.08
15kWh,jan,2111.07,142.09,17.18,17.18,1747.13,1747.13,375.99,17.18,393.17,2111.07,130.04
15kWh,feb,1986.63,238.97,297.10,297.10,1389.50,1389.50,616.80,297.10,913.90,1986.63,219.30
15kWh,mar,1849.14,423.23,613.88,613.88,949.32,949.32,934.50,613.88,1548.38,1849.14,388.56
15kWh,apr,1507.85,414.46,1798.89,1798.89,583.46,583.46,958.27,1798.89,2757.16,1507.85,380.58
15kWh,may,1462.03,430.52,2432.00,2432.00,402.36,402.36,1094.96,2432.00,3526.96,1462.03,395.23
15kWh,jun,1085.88,360.68,3252.71,3252.71,181.30,181.30,934.17,3252.71,4186.87,1085.88,331.09
15kWh,jul,899.40,406.28,2134.40,2134.40,100.15,100.15,832.75,2134.40,2967.15,899.40,372.79
15kWh,aug,1095.56,418.12,1906.37,1906.37,222.49,222.49,907.51,1906.37,2813.88,1095.56,383.68
15kWh,sep,1557.28,416.60,1641.11,1641.11,694.22,694.22,897.21,1641.11,2538.31,1557.28,382.45
15kWh,oct,1641.51,333.02,238.19,238.19,997.58,997.58,671.44,238.19,909.63,1641.51,305.51
15kWh,nov,1940.88,235.11,52.86,52.86,1494.83,1494.83,465.66,52.86,518.52,1940.88,215.50
15kWh,dec,2244.25,37.57,0.00,0.00,2033.51,2033.51,214.35,0.00,214.35,2244.25,33.95
20kWh,jan,2111.07,150.99,8.28,8.28,1739.22,1739.22,384.89,8.28,393.17,2111.07,137.95
20kWh,feb,1986.63,291.03,245.04,245.04,1341.89,1341.89,668.86,245.04,913.90,1986.63,266.91
20kWh,mar,1849.14,535.48,501.63,501.63,846.54,846.54,1046.75,501.63,1548.38,1849.14,491.34
20kWh,apr,1507.85,536.59,1676.76,1676.76,471.61,471.61,1080.40,1676.76,2757.16,1507.85,492.43
20kWh,may,1462.03,518.82,2343.70,2343.70,321.52,321.52,1183.26,2343.70,3526.96,1462.03,476.07
20kWh,jun,1085.88,421.14,3192.25,3192.25,126.01,126.01,994.62,3192.25,4186.87,1085.88,386.39
