Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
5kWh,sep,1557.28,150.89,1940.31,1940.31,971.53,971.53,598,1940.31,2538.31,1557.28,138.64
5kWh,oct,1641.51,144.41,426.8,426.8,1170.44,1170.44,482.84,426.8,909.63,1641.51,132.65
5kWh,nov,1940.88,111.89,176.08,176.08,1607.61,1607.61,342.44,176.08,518.52,1940.88,102.72
5kWh,dec,2244.25,32.64,4.93,4.93,2037.64,2037.64,209.43,4.93,214.35,2244.25,29.83
8kWh,jan,2111.07,104.8,54.47,54.47,1781.23,1781.23,338.71,54.47,393.17,2111.07,95.94
8kWh,feb,1986.63,157.55,378.52,378.52,1464.35,1464.35,535.38,378.52,913.9,1986.63,144.46
8kWh,mar,1849.14,248.45,788.67,788.67,1109.76,1109.76,759.71,788.67,1548.38,1849.14,228.12
8kWh,apr,1507.85,234.45,1978.9,1978.9,748.72,748.72,778.26,1978.9,2757.16,1507.85,215.32
8kWh,may,1462.03,235.05,2676.9,2676.9,631.23,631.23,850.06,2676.9,3526.96,1462.03,215.8
8kWh,jun,1040.86,225.01,3488.77,3488.77,361.17,361.17,698.11,3488.77,4186.87,1040.86,206.6
8kWh,jul,944.26,241.03,2341.78,2341.78,338.61,338.61,625.37,2341.78,2967.15,944.26,221.31
8kWh,aug,1095.56,248.61,2085.37,2085.37,387.38,387.38,728.51,2085.37,2813.88,1095.56,228.28
8kWh,sep,1557.28,236.37,1854.83,1854.83,893.14,893.14,683.48,1854.83,2538.31,1557.28,217.02
8kWh,oct,1641.51,206.06,365.14,365.14,1114,1114,544.49,365.14,909.63,1641.51,189.09
8kWh,nov,1940.88,159.09,128.88,128.88,1564.44,1564.44,389.64,128.88,518.52,1940.88,145.89
8kWh,dec,2244.25,37.53,0.04,0.04,2033.3,2033.3,214.31,0.04,214.35,2244.25,34.16
12kWh,jan,2111.07,131.61,27.66,27.66,1756.81,1756.81,365.51,27.66,393.17,2111.07,120.36
12kWh,feb,1986.63,206.86,329.21,329.21,1419.11,1419.11,584.69,329.21,913.9,1986.63,189.7
