Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge,PV2_Direct_Consumption,PV2_to_Grid_Feedin,Total_PV2_Production
26kWh,jul,944.26,480.36,2494.29,2494.29,117.98,117.98,663.69,2303.46,2967.15,944.26,440.28,202.67,190.83,393.50
26kWh,aug,1095.56,540.10,2163.72,2163.72,117.60,117.60,795.67,2018.21,2813.88,1095.56,495.03,227.36,145.51,372.87
26kWh,sep,1557.28,648.13,1777.30,1777.30,512.89,512.89,963.38,1574.93,2538.31,1557.28,594.03,135.10,202.36,337.47
26kWh,oct,1641.51,496.44,183.52,183.52,844.21,844.21,748.40,161.23,909.63,1641.51,454.72,90.63,22.29,112.92
26kWh,nov,1940.88,319.67,22.42,22.42,1412.88,1412.88,497.35,21.17,518.52,1940.88,292.56,57.76,1.26,59.02
26kWh,dec,2244.25,49.30,-0.00,-0.00,2017.90,2017.90,214.35,0.00,214.35,2244.25,44.26,17.03,-0.00,17.03
50kWh,jan,2111.07,194.54,-0.00,-0.00,1695.15,1695.15,393.17,0.00,393.17,2111.07,176.37,40.93,-0.00,40.93
50kWh,feb,1986.63,544.26,98.73,98.73,1104.12,1104.12,826.56,87.34,913.90,1986.63,497.66,102.55,11.39,113.95
50kWh,mar,1849.14,902.99,326.31,326.31,502.72,502.72,1259.75,288.63,1548.38,1849.14,825.90,163.76,37.68,201.44
50kWh,apr,1507.85,920.05,1652.22,1652.22,115.26,115.26,1282.49,1474.67,2757.16,1507.85,841.99,188.16,177.55,365.71
50kWh,may,1462.03,798.73,2579.63,2579.63,111.06,111.06,1126.73,2400.23,3526.96,1462.03,730.93,292.04,179.40,471.44
50kWh,jun,1040.86,559.64,3712.96,3712.96,53.22,53.22,751.11,3435.76,4186.87,1040.86,511.76,284.40,277.20,561.61
50kWh,jul,944.26,551.11,2423.54,2423.54,54.08,54.08,747.93,2219.22,2967.15,944.26,504.17,189.18,204.32,393.50
50kWh,aug,1095.56,612.13,2091.70,2091.70,52.95,52.95,943.63,1870.25,2813.88,1095.56,559.68,151.43,221.44,372.87
50kWh,sep,1557.28,818.44,1606.99,1606.99,357.82,357.82,1105.11,1433.20,2538.31,1557.28,749.11,163.68,173.79,337.47
50kWh,oct,1641.51,615.52,64.45,64.45,736.94,736.94,852.46,57.17,909.63,1641.51,561.98,105.64,7.28,112.92
50kWh,nov,1940.88,342.10,-0.00,-0.00,1393.55,1393.55,518.52,-0.00,518.52,1940.88,311.89,59.02,-0.00,59.02
50kWh,dec,2244.25,49.72,-0.00,-0.00,2019.16,2019.16,214.35,-0.00,214.35,2244.25,43.42,17.03,-0.00,17.03
